日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2021-02-26,等々力陸上競技場,曇,10.8,全面良芝,4868,川崎フロンターレ,横浜Ｆ・マリノス,Home,2,0,2.279,18,8,0,488,11,9,2,6,26,8,27,26,3,3,0,0,41,16,119788,211,131,13.7,46.9,11.1,78.9,18.2,100.0,25.0,59.3,0.974,11,2,0,592,11,9,3,7,30,15,27,12,0,2,1,0,39,13,121347,212,134,8.2,53.1,0.0,79.7,0.0,83.3,40.0,66.7,3
2021-02-26,等々力陸上競技場,曇,10.8,全面良芝,4868,横浜Ｆ・マリノス,川崎フロンターレ,Away,0,2,0.974,11,2,0,592,11,9,3,7,30,15,27,12,0,2,1,0,39,13,121347,212,134,8.2,53.1,0.0,79.7,0.0,83.3,40.0,66.7,2.279,18,8,0,488,11,9,2,6,26,8,27,26,3,3,0,0,41,16,119788,211,131,13.7,46.9,11.1,78.9,18.2,100.0,25.0,59.3,0
2021-03-07,日産スタジアム,曇,9.4,全面良芝,4906,横浜Ｆ・マリノス,サンフレッチェ広島,Home,3,3,1.886,14,5,0,804,32,11,2,8,18,8,15,17,1,1,3,0,86,20,129125,217,131,10.7,65.4,21.4,83.0,21.9,88.9,62.5,60.0,2.58,11,7,2,266,11,13,1,6,17,22,19,36,4,2,0,0,24,7,127088,204,131,8.4,34.6,27.3,60.9,9.1,70.6,40.9,73.7,1
2021-03-07,日産スタジアム,曇,9.4,全面良芝,4906,サンフレッチェ広島,横浜Ｆ・マリノス,Away,3,3,2.58,11,7,2,266,11,13,1,6,17,22,19,36,4,2,0,0,24,7,127088,204,131,8.4,34.6,27.3,60.9,9.1,70.6,40.9,73.7,1.886,14,5,0,804,32,11,2,8,18,8,15,17,1,1,3,0,86,20,129125,217,131,10.7,65.4,21.4,83.0,21.9,88.9,62.5,60.0,1
2021-03-10,ベスト電器スタジアム,晴,14.7,全面良芝,4607,アビスパ福岡,横浜Ｆ・マリノス,Home,1,3,1.683,14,2,0,294,10,6,3,8,33,5,33,17,3,4,2,0,20,8,116370,189,134,10.4,37.0,7.1,61.6,30.0,75.8,20.0,75.8,1.856,13,5,1,600,18,13,4,8,21,12,16,24,1,1,1,0,56,16,119014,195,130,10.0,63.0,23.1,82.2,33.3,76.2,8.3,75.0,0
2021-03-10,ベスト電器スタジアム,晴,14.7,全面良芝,4607,横浜Ｆ・マリノス,アビスパ福岡,Away,3,1,1.856,13,5,1,600,18,13,4,8,21,12,16,24,1,1,1,0,56,16,119014,195,130,10.0,63.0,23.1,82.2,33.3,76.2,8.3,75.0,1.683,14,2,0,294,10,6,3,8,33,5,33,17,3,4,2,0,20,8,116370,189,134,10.4,37.0,7.1,61.6,30.0,75.8,20.0,75.8,3
2021-03-14,日産スタジアム,晴,16.6,全面良芝,4864,横浜Ｆ・マリノス,浦和レッズ,Home,3,0,2.573,21,8,0,624,11,12,0,5,13,8,19,18,2,1,0,0,53,13,125429,225,117,17.9,46.3,14.3,85.7,27.3,69.2,50.0,84.2,0.855,8,2,0,635,13,9,1,2,24,10,23,14,1,0,1,0,28,8,120389,195,125,6.4,53.7,0.0,83.0,7.7,100.0,50.0,60.9,3
2021-03-14,日産スタジアム,晴,16.6,全面良芝,4864,浦和レッズ,横浜Ｆ・マリノス,Away,0,3,0.855,8,2,0,635,13,9,1,2,24,10,23,14,1,0,1,0,28,8,120389,195,125,6.4,53.7,0.0,83.0,7.7,100.0,50.0,60.9,2.573,21,8,0,624,11,12,0,5,13,8,19,18,2,1,0,0,53,13,125429,225,117,17.9,46.3,14.3,85.7,27.3,69.2,50.0,84.2,0
2021-03-17,ニッパツ三ツ沢球技場,晴,12.3,全面良芝,4787,横浜Ｆ・マリノス,徳島ヴォルティス,Home,1,0,1.194,9,2,0,538,14,6,4,4,27,8,33,18,3,0,3,0,44,12,127516,251,144,6.3,53.7,11.1,80.5,28.6,66.7,50.0,84.8,0.915,12,1,0,401,14,11,0,3,29,9,28,21,2,4,0,0,31,9,127614,234,136,8.8,46.3,0.0,71.8,14.3,86.2,22.2,71.4,3
2021-03-17,ニッパツ三ツ沢球技場,晴,12.3,全面良芝,4787,徳島ヴォルティス,横浜Ｆ・マリノス,Away,0,1,0.915,12,1,0,401,14,11,0,3,29,9,28,21,2,4,0,0,31,9,127614,234,136,8.8,46.3,0.0,71.8,14.3,86.2,22.2,71.4,1.194,9,2,0,538,14,6,4,4,27,8,33,18,3,0,3,0,44,12,127516,251,144,6.3,53.7,11.1,80.5,28.6,66.7,50.0,84.8,0
